,Name,Year,Genre,Director,Star1,Star2,Star3,Star4,Star5,Runtime,Rating,Metascore,IMDB rating,Votes,Gross,Inflation adjusted,numStarW,numStarN,starWon,starNom,numMovieW,numMovieN,numOtherW,numOtherN
711,Star Wars: Episode VIII - The Last Jedi,2017,0,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,,152,0,85,7.2,449820,620180000,639509770,0,0,0,0,0,0,0,0
712,Oblivion,2013,2,Joseph Kosinski,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,,124,0,54,7.0,448553,89020000,96587095,1,7,0,0,0,0,0,0
713,Source Code,2011,31,Duncan Jones,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright,,93,0,74,7.5,447807,54710000,61476491,0,2,0,0,0,0,0,0
714,Harry Potter and the Order of the Phoenix,2007,16,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Brendan Gleeson,,138,0,71,7.5,446959,292000000,355960764,0,0,0,0,0,0,0,0
715,Troy,2004,108,Wolfgang Petersen,Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover,,163,2,56,7.2,446832,133380000,178486146,0,1,0,0,0,0,0,0
716,X-Men: The Last Stand,2006,2,Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen,,104,0,58,6.7,446540,234360000,293845031,1,0,0,0,0,0,0,0
717,Thor: Ragnarok,2017,8,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,,130,0,74,7.9,444259,315060000,324879790,2,7,0,0,0,0,0,0
718,Star Trek Into Darkness,2013,2,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,,132,0,72,7.7,442992,228780000,248227316,0,0,0,0,0,0,0,0
719,Pirates of the Caribbean: On Stranger Tides,2011,0,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,Geoffrey Rush,,136,8,45,6.6,442455,241070000,270885352,2,8,0,0,0,0,0,0
720,Pacific Rim,2013,2,Guillermo del Toro,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,,131,0,65,6.9,439731,101800000,110453452,0,1,0,0,0,0,0,0
721,Rain Man,1988,11,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,,133,2,65,8.0,437406,178800000,382158215,1,4,1,0,0,0,0,0
722,(500) Days of Summer,2009,79,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz,,95,0,76,7.7,436791,32390000,38160687,0,0,0,0,0,0,0,0
723,"Crazy, Stupid, Love.",2011,79,Glenn Ficarra,John Requa,Steve Carell,Ryan Gosling,Julianne Moore,Emma Stone,118,0,68,7.4,433322,84350000,94782343,0,4,0,0,0,0,0,0
724,The Hobbit: The Battle of the Five Armies,2014,73,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Cate Blanchett,,144,0,59,7.4,433312,255120000,272387599,2,5,0,0,0,0,0,0
725,X-Men Origins: Wolverine,2009,2,Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston,,107,2,40,6.6,430588,179880000,211927889,0,0,0,0,0,0,0,0
726,The Hangover Part II,2011,76,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,,102,3,44,6.5,428663,254460000,285931417,0,0,0,0,0,0,0,0
727,The Great Gatsby,2013,1,Baz Luhrmann,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,Tobey Maguire,,143,0,55,7.3,427000,144840000,157152043,0,4,0,0,0,0,0,0
728,Children of Men,2006,54,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,,109,2,84,7.9,425985,35550000,44573267,2,8,0,0,0,0,0,0
729,La La Land,2016,61,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,,128,0,93,8.0,425211,151100000,159128398,1,2,1,1,0,1,4,6
730,American Psycho,2000,22,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage,,101,6,64,7.6,424621,15070000,22120123,0,0,0,0,0,0,0,0
731,The Hateful Eight,2015,33,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,,187,3,68,7.8,424075,54120000,57714605,0,1,0,1,0,0,1,1
732,Mission: Impossible - Ghost Protocol,2011,39,Brad Bird,Tom Cruise,Jeremy Renner,Simon Pegg,Paula Patton,,132,2,73,7.4,423914,209400000,235298431,0,5,0,0,0,0,0,0
733,John Wick,2014,13,Chad Stahelski,David Leitch,Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,101,2,68,7.3,422310,43040000,45953129,0,2,0,0,0,0,0,0
734,Hot Fuzz,2007,126,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,,121,2,81,7.9,420315,23640000,28818193,0,0,0,0,0,0,0,0
735,Back to the Future Part II,1989,45,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,,108,0,57,7.8,419462,118500000,241613316,0,0,0,0,0,0,0,0
736,The Perks of Being a Wallflower,2012,11,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,,103,2,67,8.0,418640,17740000,19529930,0,0,0,0,0,0,0,0
737,Harry Potter and the Deathly Hallows: Part 1,2010,51,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,,146,0,65,7.7,418336,295980000,343085812,0,0,0,0,0,0,0,0
738,The Butterfly Effect,2004,54,Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,Elden Henson,113,2,30,7.7,417311,57940000,77534018,0,0,0,0,0,0,0,0
739,Ex Machina,2014,30,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,,108,0,78,7.7,417029,25440000,27161887,0,0,0,0,0,0,0,0
740,American Hustle,2013,22,David O. Russell,Christian Bale,Amy Adams,Bradley Cooper,Jennifer Lawrence,,138,2,90,7.2,414639,150120000,162880867,2,6,0,4,0,0,0,0
741,Get Out,2017,18,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,,104,2,84,7.7,376892,176040000,181526815,0,2,0,1,0,1,1,0
742,The Lego Batman Movie,2017,127,Chris McKay,Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes,,104,1,75,7.3,113260,175750000,181227776,0,2,0,0,0,0,0,0
743,The Boss Baby,2017,5,Tom McGrath,Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Lisa Kudrow,,97,1,50,6.3,90943,175000000,180454400,0,1,0,0,0,1,0,0
744,Crocodile Dundee,1986,128,Peter Faiman,Paul Hogan,Linda Kozlowski,John Meillon,David Gulpilil,,97,0,62,6.6,84899,174640000,402724070,0,0,0,0,0,0,0,0
745,The Greatest Showman,2017,20,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Zendaya,,105,0,48,7.6,192647,174340000,179773829,0,5,0,0,0,0,0,1
746,Apollo 13,1995,90,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,,140,0,77,7.6,243061,173840000,288349817,2,2,0,0,0,0,0,0
747,Elf,2003,21,Jon Favreau,Will Ferrell,James Caan,Bob Newhart,Zooey Deschanel,,97,1,64,6.9,189585,173400000,238252280,0,1,0,0,0,0,0,0
748,National Treasure,2004,80,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,,131,0,39,6.9,283088,173010000,231518129,1,1,0,0,0,0,0,0
749,Air Force One,1997,129,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,,124,0,61,6.5,165810,172960000,272353513,0,6,0,0,0,0,0,0
750,Pirates of the Caribbean: Dead Men Tell No Tales,2017,0,Joachim Rønning,Espen Sandberg,Johnny Depp,Geoffrey Rush,Javier Bardem,Orlando Bloom,129,0,39,6.6,222120,172560000,177938350,2,8,0,0,0,0,0,0
751,Tron,2010,0,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,,125,0,49,6.8,293634,172060000,199443695,1,4,0,0,0,0,0,0
752,The Matrix,1999,36,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,136,2,73,8.7,1483124,171480000,260202276,0,1,0,0,0,0,0,0
