,Name,Year,Genre,Director,Star1,Star2,Star3,Star4,Star5,Runtime,Rating,Metascore,IMDB rating,Votes,Gross,Inflation adjusted,numStarW,numStarN,starWon,starNom,numMovieW,numMovieN,numOtherW,numOtherN
0,Star Wars: Episode VII - The Force Awakens,2015,0,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,,136,0,81,8.0,775155,936660000,998872170,0,0,0,0,0,0,0,0
1,Avatar,2009,0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,,162,0,83,7.8,1031306,760510000,896004440,0,2,0,0,0,0,0,0
2,Titanic,1997,1,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,,194,0,75,7.8,942640,659330000,1038221796,1,2,0,1,0,0,0,0
3,Jurassic World,2015,2,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,,124,0,59,7.0,532042,652270000,695593225,0,0,0,0,0,0,0,0
4,The Avengers,2012,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,,143,0,69,8.1,1156623,623360000,686255742,0,4,0,0,0,0,0,0
5,Star Wars: Episode VIII - The Last Jedi,2017,0,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,,152,0,85,7.2,449820,620180000,639509770,0,0,0,0,0,0,0,0
6,The Dark Knight,2008,3,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,,152,0,84,9.0,2031221,534860000,627911567,2,5,1,0,0,0,0,0
7,Rogue One,2016,2,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,,133,0,65,7.8,467966,532180000,560456327,0,1,0,0,0,0,0,0
8,Beauty and the Beast,2017,4,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad,,129,0,65,7.2,231557,504010000,519718984,0,0,0,0,0,0,0,2
9,Finding Dory,2016,5,Andrew Stanton,Angus MacLane,Ellen DeGeneres,Albert Brooks,Ed O'Neill,Kaitlin Olson,97,1,77,7.3,209462,486300000,512138584,0,1,0,0,0,0,0,0
10,Star Wars: Episode I - The Phantom Menace,1999,0,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,,136,0,51,6.5,645830,474540000,720062912,0,1,0,0,0,0,0,0
11,Avengers: Age of Ultron,2015,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,,141,0,66,7.4,637156,459010000,489497059,0,4,0,0,0,0,0,0
12,The Dark Knight Rises,2012,6,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,,164,2,78,8.4,1367915,448140000,493356405,1,2,0,0,0,0,0,0
13,Shrek 2,2004,5,Andrew Adamson,Kelly Asbury,Conrad Vernon,Mike Myers,Eddie Murphy,Cameron Diaz,93,1,75,7.2,376101,436470000,584074435,0,0,0,0,0,0,0,0
14,E.T. the Extra-Terrestrial,1982,7,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,,115,1,91,7.9,333090,435110000,1139670197,0,0,0,0,0,0,0,0
15,The Hunger Games: Catching Fire,2013,2,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman,,146,0,76,7.5,569985,424670000,460768836,2,4,0,0,0,0,0,0
16,Pirates of the Caribbean: Dead Man's Chest,2006,0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Jack Davenport,,151,0,53,7.3,607025,423320000,530766677,0,3,0,0,0,0,0,0
17,Toy Story 3,2010,5,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,,103,1,92,8.3,670755,415000000,481048084,2,6,0,0,0,0,0,0
18,Wonder Woman,2017,0,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis,,141,0,76,7.5,471972,412560000,425418670,0,0,0,0,0,0,0,0
19,Iron Man Three,2013,2,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,,130,0,62,7.2,674102,409010000,443777666,1,3,0,0,0,0,0,0
20,Captain America: Civil War,2016,2,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,147,0,75,7.8,557429,408080000,429762520,0,2,0,0,0,0,0,0
21,The Hunger Games,2012,2,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,,142,0,68,7.2,788848,408010000,449177370,0,2,0,0,0,0,0,0
22,Jumanji: Welcome to the Jungle,2017,8,Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,,119,2,58,7.0,233885,404520000,417128079,0,0,0,0,0,0,0,0
23,Spider-Man,2002,2,Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco,,121,0,73,7.3,631502,403710000,567291320,0,2,0,0,0,0,0,0
24,Jurassic Park,1993,9,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,,127,0,68,8.1,772290,402450000,704168789,1,1,0,0,0,0,0,0
25,Transformers: Revenge of the Fallen,2009,2,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,,150,2,35,6.0,361971,402110000,473750964,0,0,0,0,0,0,0,0
26,Frozen,2013,5,Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,102,1,74,7.5,510315,400740000,434804680,0,0,0,0,0,0,0,0
27,Guardians of the Galaxy Vol. 2,2017,8,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,,136,0,67,7.7,454498,389810000,401959598,0,0,0,0,0,0,0,1
28,Harry Potter and the Deathly Hallows: Part 2,2011,10,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,,130,0,87,8.1,681874,381010000,428133024,0,0,0,0,0,0,0,0
29,Finding Nemo,2003,5,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,100,1,90,8.1,855624,380840000,523275654,0,3,0,0,0,0,0,0
30,Star Wars: Episode III - Revenge of the Sith,2005,0,George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,Samuel L. Jackson,,140,0,68,7.6,631960,380260000,492157796,0,2,0,0,0,0,0,0
31,The Lord of the Rings: The Return of the King,2003,10,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,,201,2,94,8.9,1470319,377850000,519167382,0,2,0,0,0,0,0,0
32,Spider-Man 2,2004,2,Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,James Franco,,127,0,83,7.3,492820,373590000,499929819,0,0,0,0,0,0,0,0
33,The Passion of the Christ,2004,11,Mel Gibson,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Christo Jivkov,,127,3,47,7.2,198956,370780000,496169539,0,0,0,0,0,0,0,0
34,The Secret Life of Pets,2016,5,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Lake Bell,87,1,61,6.5,158305,368380000,387953139,0,0,0,0,0,0,0,0
35,Despicable Me 2,2013,5,Pierre Coffin,Chris Renaud,Steve Carell,Kristen Wiig,Benjamin Bratt,Miranda Cosgrove,98,1,62,7.4,340096,368060000,399346735,0,0,0,0,0,0,0,0
36,The Jungle Book,2016,12,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,,106,0,77,7.4,238131,364000000,383340417,1,4,0,0,0,0,1,0
37,Deadpool,2016,8,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,,108,2,65,8.0,803656,363070000,382361003,0,0,0,0,0,0,0,0
38,Inside Out,2015,5,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling,95,1,94,8.2,525133,356460000,380135774,0,0,0,0,1,0,0,1
39,Furious Seven,2015,13,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,,137,2,67,7.2,331821,353010000,376456628,0,0,0,0,0,0,0,0
40,Transformers: Dark of the Moon,2011,2,Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,Josh Duhamel,,154,0,42,6.3,363407,352390000,395973325,0,0,0,0,0,0,0,0
41,American Sniper,2014,14,Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis,,133,2,72,7.3,397118,350130000,373828277,0,2,0,1,0,0,0,0
42,The Lord of the Rings: The Two Towers,2002,10,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,,179,4,87,8.7,1329661,342550000,481349587,0,2,0,0,0,0,0,0
43,Zootopia,2016,5,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,Idris Elba,108,1,78,8.0,375000,341270000,359402703,0,0,0,0,1,0,0,0
44,The Hunger Games: Mockingjay - Part 1,2014,2,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,,123,0,64,6.7,374033,337140000,359959059,1,4,0,0,0,0,0,0
45,Spider-Man 3,2007,2,Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church,,139,0,59,6.2,454208,336530000,410244780,0,1,0,0,0,0,0,0
46,Minions,2015,15,Kyle Balda,Pierre Coffin,Sandra Bullock,Jon Hamm,Michael Keaton,Pierre Coffin,91,0,56,6.4,190821,336050000,358370159,1,2,0,0,0,0,0,0
47,Spider-Man: Homecoming,2017,2,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,,133,0,73,7.5,399479,334200000,344616346,1,5,0,0,0,0,0,0
48,Alice in Wonderland,2010,16,Tim Burton,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,,108,0,53,6.5,354971,334190000,387377010,0,5,0,0,0,0,0,0
49,Guardians of the Galaxy,2014,8,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,,121,0,76,8.1,918866,333180000,355731029,0,2,0,0,0,0,0,0
50,Room,2015,17,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,,118,2,86,8.2,308270,14680000,15655033,0,0,1,0,0,1,0,1
51,Guardians of the Galaxy,2014,8,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,,121,0,76,8.1,918866,333180000,355731029,0,2,0,0,0,0,0,0
52,Get Out,2017,18,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,,104,2,84,7.7,376892,176040000,181526815,0,2,0,1,0,1,1,0
53,Scott Pilgrim vs. the World,2010,19,Edgar Wright,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Anna Kendrick,,112,0,69,7.5,334293,31490000,36501697,0,1,0,0,0,0,0,0
54,Thor: Ragnarok,2017,8,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,,130,0,74,7.9,444259,315060000,324879790,2,7,0,0,0,0,0,0
55,The Greatest Showman,2017,20,Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Zendaya,,105,0,48,7.6,192647,174340000,179773829,0,5,0,0,0,0,0,1
56,Mary Poppins,1964,21,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,,139,1,88,7.8,139269,102270000,833413471,0,1,1,0,0,0,0,0
57,Captain America: The First Avenger,2011,2,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,,124,0,66,6.9,644018,176650000,198497936,0,1,0,0,0,0,0,0
58,The Avengers,2012,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,,143,0,69,8.1,1156623,623360000,686255742,0,4,0,0,0,0,0,0
59,Kong: Skull Island,2017,0,Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly,,118,2,62,6.6,229922,168050000,173287782,1,2,0,0,0,0,0,1
60,Avengers: Age of Ultron,2015,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,,141,0,66,7.4,637156,459010000,489497059,0,4,0,0,0,0,0,0
61,Wonder Woman,2017,0,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis,,141,0,76,7.5,471972,412560000,425418670,0,0,0,0,0,0,0,0
62,The Shawshank Redemption,1994,11,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,,142,2,80,9.3,2064956,28340000,48326554,0,2,0,1,0,0,0,0
63,The Godfather,1972,22,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,,175,3,100,9.2,1416767,134970000,815821645,1,4,1,2,0,0,0,0
64,Jurassic Park,1993,9,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,,127,0,68,8.1,772290,402450000,704168789,1,1,0,0,0,0,0,0
65,Spider-Man: Homecoming,2017,2,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,,133,0,73,7.5,399479,334200000,344616346,1,5,0,0,0,0,0,0
66,Justice League,2017,0,Zack Snyder,Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller,,120,0,45,6.5,317677,229020000,236158095,0,0,0,0,0,0,0,0
67,The Magnificent Seven,2016,23,Antoine Fuqua,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,,132,2,54,6.9,165911,93430000,98394217,2,6,0,0,0,0,0,0
68,Guardians of the Galaxy Vol. 2,2017,8,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,,136,0,67,7.7,454498,389810000,401959598,0,0,0,0,0,0,0,1
69,Harry Potter and the Sorcerer's Stone,2001,16,Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,,152,0,64,7.6,562277,317580000,453339721,2,5,0,0,0,0,0,0
70,The Dark Knight,2008,3,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,,152,0,84,9.0,2031221,534860000,627911567,2,5,1,0,0,0,0,0
71,Thor,2011,0,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,,115,0,57,7.0,664039,181030000,203419651,2,4,0,0,0,0,0,0
72,Fast Times at Ridgemont High,1982,24,Amy Heckerling,Sean Penn,Jennifer Jason Leigh,Judge Reinhold,Robert Romanus,,90,3,67,7.2,84151,27090000,70956001,0,0,0,0,0,0,0,0
73,Sing,2016,25,Garth Jennings,Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson,108,1,59,7.1,112861,270400000,284767167,2,1,0,0,0,0,1,0
74,Fantastic Beasts and Where to Find Them,2016,16,David Yates,Eddie Redmayne,Katherine Waterston,Alison Sudol,Dan Fogler,,133,0,66,7.3,356668,234040000,246475250,1,1,0,0,0,0,1,1
75,Captain America: The Winter Soldier,2014,2,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,136,0,70,7.8,644248,259770000,277352330,1,3,0,0,0,0,0,0
76,Captain America: Civil War,2016,2,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,147,0,75,7.8,557429,408080000,429762520,0,2,0,0,0,0,0,0
77,Jumanji: Welcome to the Jungle,2017,8,Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,,119,2,58,7.0,233885,404520000,417128079,0,0,0,0,0,0,0,0
78,Saving Mr. Banks,2013,26,John Lee Hancock,Emma Thompson,Tom Hanks,Annie Rose Buckley,Colin Farrell,,125,0,65,7.5,138512,83300000,90380870,3,5,0,0,0,0,0,0
79,The Departed,2006,27,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,,151,3,85,8.5,1060372,132380000,165980565,3,12,0,1,0,0,0,0
80,Pulp Fiction,1994,22,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,,154,5,94,8.9,1614289,107930000,184046751,0,1,0,3,0,0,0,0
81,Interstellar,2014,28,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,,169,0,74,8.6,1269976,188020000,200745987,2,3,0,0,0,0,0,0
82,Suicide Squad,2016,0,David Ayer,Will Smith,Jared Leto,Margot Robbie,Viola Davis,,123,0,40,6.1,520651,325100000,342373543,1,4,0,0,0,0,1,0
83,Layer Cake,2004,3,Matthew Vaughn,Daniel Craig,Sienna Miller,Michael Gambon,Tom Hardy,,105,3,73,7.3,151470,2340000,3131336,0,0,0,0,0,0,0,0
84,Beauty and the Beast,2017,4,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad,,129,0,65,7.2,231557,504010000,519718984,0,0,0,0,0,0,0,2
85,Inception,2010,2,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe,,148,0,74,8.8,1810174,292580000,339144695,0,5,0,0,0,0,0,0
86,Mad Max: Fury Road,2015,2,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,,120,2,90,8.1,767250,154060000,164292536,1,1,0,0,0,1,6,2
87,Iron Man,2008,2,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,,126,0,79,7.9,839779,318410000,373804962,1,6,0,0,0,0,0,0
88,American Pie,1999,29,Paul Weitz,Chris Weitz,Jason Biggs,Chris Klein,Thomas Ian Nicholas,Jennifer Coolidge,95,3,58,7.0,350190,102560000,155623661,0,0,0,0,0,0,0,0
89,The Lord of the Rings: The Fellowship of the Ring,2001,10,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,,178,2,92,8.8,1486888,315540000,450427658,0,1,0,1,0,0,0,0
90,Blade Runner 2049,2017,30,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,,164,2,81,8.0,366631,92050000,94919014,0,3,0,0,0,0,2,3
91,The Notebook,2004,1,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,,123,0,53,7.9,468361,81000000,108392396,0,3,0,0,0,0,0,0
92,Ghost in the Shell,2017,31,Rupert Sanders,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche,,107,0,52,6.4,172191,40530000,41793239,1,1,0,0,0,0,0,0
93,Goodfellas,1990,32,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,,146,4,89,8.7,891343,46840000,90612312,2,3,0,0,0,0,0,0
94,Papillon,2017,33,Michael Noer,Charlie Hunnam,Damijan Oklopdzic,Christopher Fairbank,Jason Ryan,,133,2,51,7.1,28811,2340000,2412933,0,0,0,0,0,0,0,0
95,The Shape of Water,2017,10,Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones,,123,2,87,7.3,296260,63860000,65850388,1,4,0,2,1,0,2,6
96,It,2017,34,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis,,135,2,69,7.4,342709,327480000,337686897,0,0,0,0,0,0,0,0
97,21 Jump Street,2012,35,Phil Lord,Christopher Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,109,2,69,7.2,472970,138450000,152419320,0,1,0,0,0,0,0,0
98,"Three Billboards Outside Ebbing, Missouri",2017,22,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,,115,2,88,8.2,329316,54510000,56208968,1,5,2,1,0,1,0,3
99,The Shawshank Redemption,1994,11,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,,142,2,80,9.3,2064956,28340000,48326554,0,2,0,1,0,0,0,0
100,The Dark Knight,2008,3,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,,152,0,84,9.0,2031221,534860000,627911567,2,5,1,0,0,0,0,0
101,Inception,2010,2,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe,,148,0,74,8.8,1810174,292580000,339144695,0,5,0,0,0,0,0,0
102,Fight Club,1999,11,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,,139,6,66,8.8,1652469,37030000,56189003,0,3,0,0,0,0,0,0
103,Pulp Fiction,1994,22,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,,154,5,94,8.9,1614289,107930000,184046751,0,1,0,3,0,0,0,0
104,Forrest Gump,1994,1,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,,142,0,82,8.8,1582123,330250000,563156116,3,1,1,1,0,0,0,0
105,The Lord of the Rings: The Fellowship of the Ring,2001,10,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,,178,2,92,8.8,1486888,315540000,450427658,0,1,0,1,0,0,0,0
106,The Matrix,1999,36,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,136,2,73,8.7,1483124,171480000,260202276,0,1,0,0,0,0,0,0
107,The Lord of the Rings: The Return of the King,2003,10,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,,201,2,94,8.9,1470319,377850000,519167382,0,2,0,0,0,0,0,0
108,The Godfather,1972,22,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,,175,3,100,9.2,1416767,134970000,815821645,1,4,1,2,0,0,0,0
109,The Dark Knight Rises,2012,6,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,,164,2,78,8.4,1367915,448140000,493356405,1,2,0,0,0,0,0,0
110,The Lord of the Rings: The Two Towers,2002,10,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,,179,4,87,8.7,1329661,342550000,481349587,0,2,0,0,0,0,0,0
111,Interstellar,2014,28,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,,169,0,74,8.6,1269976,188020000,200745987,2,3,0,0,0,0,0,0
112,Se7en,1995,33,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,,127,7,65,8.6,1266067,100130000,166086443,0,3,0,0,0,0,0,0
113,Gladiator,2000,37,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,,155,3,67,8.5,1193911,187710000,275525439,0,1,1,1,0,0,0,0
114,Django Unchained,2012,38,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,,165,3,81,8.4,1191260,162810000,179237194,2,4,1,0,0,0,0,0
115,Batman Begins,2005,39,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,,140,0,70,8.2,1177001,206850000,267719034,2,6,0,0,0,0,0,0
116,The Avengers,2012,2,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,,143,0,69,8.1,1156623,623360000,686255742,0,4,0,0,0,0,0,0
117,The Silence of the Lambs,1991,27,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,,118,3,85,8.6,1113825,130740000,242641671,1,1,2,0,0,0,0,0
118,Star Wars,1977,0,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,,121,2,90,8.6,1106108,322740000,1345946696,1,1,0,1,0,0,0,0
119,Inglourious Basterds,2009,40,Quentin Tarantino,Eli Roth,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,153,3,69,8.3,1101665,120540000,142015720,0,2,0,0,0,0,0,0
120,Saving Private Ryan,1998,41,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,,169,2,91,8.6,1091760,216540000,335765263,2,2,0,1,0,0,0,0
121,Schindler's List,1993,42,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,,195,4,93,8.9,1069829,96070000,168094162,1,1,0,2,0,0,0,0
122,The Departed,2006,27,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,,151,3,85,8.5,1060372,132380000,165980565,3,12,0,1,0,0,0,0
123,The Prestige,2006,30,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,,130,2,66,8.5,1049106,53090000,66565253,2,4,0,0,0,0,0,0
124,Star Wars: Episode V - The Empire Strikes Back,1980,0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,,124,1,82,8.8,1036362,290480000,890948342,0,0,0,0,0,0,0,0
125,Avatar,2009,0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,,162,0,83,7.8,1031306,760510000,896004440,0,2,0,0,0,0,0,0
126,Memento,2000,43,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,,113,2,80,8.5,1018418,25540000,37488252,0,0,0,0,0,0,0,0
127,The Wolf of Wall Street,2013,32,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,,180,3,75,8.2,1016815,116900000,126837019,0,4,0,2,0,0,0,0
128,The Green Mile,1999,44,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,,189,2,61,8.6,996128,136800000,207579143,2,2,0,1,0,0,0,0
129,Shutter Island,2010,43,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,,138,2,63,8.1,989789,128010000,148383049,1,6,0,0,0,0,0,0
130,The Godfather: Part II,1974,22,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,,202,0,90,9.0,982908,57300000,293725536,0,3,0,0,0,0,0,0
131,American Beauty,1999,11,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,,122,3,86,8.4,979043,130100000,197412620,1,1,1,1,0,0,0,0
132,Pirates of the Caribbean: The Curse of the Black Pearl,2003,0,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,,143,2,63,8.0,954400,305410000,419634538,1,2,0,1,0,0,0,0
133,Titanic,1997,1,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,,194,0,75,7.8,942640,659330000,1038221796,1,2,0,1,0,0,0,0
134,V for Vendetta,2005,31,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,,132,2,62,8.2,942290,70510000,91258734,0,2,0,0,0,0,0,0
135,American History X,1998,11,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,,119,3,62,8.5,938849,6720000,10419980,0,1,0,1,0,0,0,0
136,Back to the Future,1985,45,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,,116,0,87,8.5,919140,210610000,494890044,0,0,0,0,0,0,0,0
137,Guardians of the Galaxy,2014,8,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,,121,0,76,8.1,918866,333180000,355731029,0,2,0,0,0,0,0,0
138,Léon,1994,3,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,,110,2,64,8.6,909399,19500000,33252216,0,1,0,0,0,0,0,0
